id,loan_amount,grade,purpose,home_ownership,income,dti,fico,loan_status
263591,20000,E,debt_consolidation,MORTGAGE,44304,18.47,690,Charged Off
818934,21500,B,debt_consolidation,RENT,50000,29.62,735,Fully Paid
1606612,10000,C,debt_consolidation,RENT,64400,16.68,675,Fully Paid
756884,16150,F,debt_consolidation,RENT,38500,33.73,660,Charged Off
1503361,35000,C,credit_card,MORTGAGE,118000,26.66,665,Fully Paid
966958,9325,B,small_business,MORTGAGE,43000,20.68,725,Fully Paid
818310,10000,B,debt_consolidation,RENT,76000,17.31,685,Fully Paid
100105,10000,B,medical,RENT,75000,22.34,700,Fully Paid
169997,20000,B,credit_card,MORTGAGE,156000,13.28,735,Fully Paid
1353477,20000,C,debt_consolidation,MORTGAGE,54000,19,660,Charged Off
552803,20400,E,other,RENT,55000,22,665,Fully Paid
962999,12500,C,debt_consolidation,RENT,37200,17.06,705,Fully Paid
334807,28000,B,debt_consolidation,MORTGAGE,100000,19.24,685,Fully Paid
692245,19200,C,credit_card,RENT,73000,21.44,660,Fully Paid
841869,25000,B,debt_consolidation,MORTGAGE,80000,15.68,725,Fully Paid
1634798,8000,B,credit_card,RENT,48000,5.69,665,Fully Paid
365790,21125,C,debt_consolidation,OWN,60000,33.98,695,Charged Off
1346384,6000,C,debt_consolidation,RENT,33000,20.76,680,Fully Paid
850540,5800,B,credit_card,RENT,106000,6.23,670,Fully Paid
1360383,15000,B,vacation,RENT,56000,14.36,710,Fully Paid
1370298,6800,D,debt_consolidation,RENT,39354,10.85,685,Charged Off
1413769,35700,E,debt_consolidation,MORTGAGE,71400,19.38,725,Fully Paid
187650,7975,C,debt_consolidation,MORTGAGE,72520,20.5,665,Charged Off
1523789,35000,D,debt_consolidation,MORTGAGE,120000,27.31,665,Charged Off
888912,8875,A,debt_consolidation,MORTGAGE,102000,16.14,800,Fully Paid
53121,35000,C,home_improvement,MORTGAGE,91750,11.1,695,Fully Paid
205070,24000,B,debt_consolidation,MORTGAGE,109000,17.89,705,Fully Paid
315065,25000,D,home_improvement,RENT,89000,0.38,750,Charged Off
1519770,35000,G,debt_consolidation,MORTGAGE,135410,39.37,695,Charged Off
225528,5600,B,credit_card,RENT,47000,20.82,680,Fully Paid
967441,5000,C,wedding,RENT,23000,10.28,660,Fully Paid
269009,6000,B,debt_consolidation,MORTGAGE,19404,13.17,730,Fully Paid
594143,20400,C,debt_consolidation,MORTGAGE,54000,15.96,705,Charged Off
633281,4200,C,debt_consolidation,MORTGAGE,19200,20.38,675,Charged Off
659637,35000,B,credit_card,MORTGAGE,125000,32.63,685,Fully Paid
539310,13000,B,credit_card,RENT,45000,7.87,695,Fully Paid
